Department Area,Service Area,Description,,,Line,,HBC Ref No.,Name:  ,,Payment Date,,Amount Paid
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/08/2023 -
  31/08/2023 20 Environmental Health Offices",,,10,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,69.16-
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/08/2023 -
  31/08/2023 20 Environmental Health Offices",,,11,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,302.93
REGN - Regeneration & Housing,FAB - Facilities,"Site 12 02/08/2024 -
  01/09/2024 Mess Room Memorial Park",,,12,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,15.35
REGN - Regeneration & Housing,FAB - Facilities,"Site 13 02/08/2024 -
  01/09/2024 Elmfield Hall Flats - Communal Ligh",,,13,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,46.36
REGN - Regeneration & Housing,FAB - Facilities,"Site 14 23/07/2024 -
  01/09/2024 Bandstand Oakhill Park",,,14,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,46.07
REGN - Regeneration & Housing,FAB - Facilities,"Site 15 02/08/2024 -
  01/09/2024 Unit 15 The Market hall",,,15,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,631.11
REGN - Regeneration & Housing,FAB - Facilities,"Site 17 02/08/2024 -
  01/09/2024 Oakhill Park Centre",,,16,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,332.00
REGN - Regeneration & Housing,FAB - Facilities,"Site 18 02/08/2024 -
  01/09/2024 5-6 Market Hall",,,17,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,458.66
REGN - Regeneration & Housing,FAB - Facilities,"Site 19 02/08/2024 -
  01/09/2024 Wilsons Playing Fields",,,18,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"1,892.42"
REGN - Regeneration & Housing,FAB - Facilities,"Site 20 03/08/2024 -
  01/09/2024 Dill Hall Cemetry",,,19,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,24.79
REGN - Regeneration & Housing,FAB - Facilities,"01/08/2024 -
  31/08/2024 Hyndburn Sports Centre",,,20,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,0.85
REGN - Regeneration & Housing,FAB - Facilities,"Site 21 02/08/2024 -
  01/09/2024 Haworth Art Gallery",,,21,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"1,164.18"
REGN - Regeneration & Housing,FAB - Facilities,"Site 22 02/08/2024 -
  01/09/2024 Wilson Playing Fields",,,22,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"2,347.03"
REGN - Regeneration & Housing,FAB - Facilities,"Site 23 31/07/2024 -
  31/08/2024 Gatty Park Greenhouse Site",,,23,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,41.20
REGN - Regeneration & Housing,FAB - Facilities,"02/08/2024 -
  01/09/2024 RANGER STREET DEPOT",,,24,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,157.78
REGN - Regeneration & Housing,FAB - Facilities,"Site 25 02/08/2024 -
  01/09/2024 Wall of Rememberence Burnley Rd",,,25,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,23.34
REGN - Regeneration & Housing,FAB - Facilities,"Site 26 01/08/2024 -
  31/08/2024 Bowl Houses Milnshaw Park",,,26,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,71.16
REGN - Regeneration & Housing,FAB - Facilities,"Site 27 02/08/2024 -
  01/09/2024 The Stable & Motor House",,,27,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,487.33
REGN - Regeneration & Housing,FAB - Facilities,"Site 28 02/08/2024 -
  01/09/2024 Cemetery Office Burnley Rd",,,28,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,737.94
REGN - Regeneration & Housing,FAB - Facilities,"Site 29 02/08/2024 -
  01/09/2024 South Service Yard Accrington Marke",,,29,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,68.37
REGN - Regeneration & Housing,FAB - Facilities,"Site 30 01/08/2024 -
  31/08/2024 Park Pavilion Lowerfold Road",,,30,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,73.53
REGN - Regeneration & Housing,FAB - Facilities,"Site 31 02/08/2024 -
  01/09/2024 Street Lighting Feeder Pillar Clock",,,31,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,44.96
REGN - Regeneration & Housing,FAB - Facilities,"Site 32 02/08/2024 -
  01/09/2024 Bullough Park Pavilion",,,32,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,603.01
REGN - Regeneration & Housing,FAB - Facilities,"01/08/2024 -
  31/08/2024 Vehicle Maintenance Depot",,,33,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"2,348.25"
REGN - Regeneration & Housing,FAB - Facilities,- Scaitcliffe House,,,34,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"6,006.58"
REGN - Regeneration & Housing,FAB - Facilities,- Accrington Market Hall,,,35,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"3,864.91"
REGN - Regeneration & Housing,FAB - Facilities,- Accrington Town Hall,,,36,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"3,772.35"
REGN - Regeneration & Housing,FAB - Facilities,- Community Hub - Fielding Lane,,,37,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,872.40
REGN - Regeneration & Housing,FAB - Facilities,"- Mercer Hall Leisure
  Centre",,,38,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"6,003.92"
REGN - Regeneration & Housing,FAB - Facilities,"01/09/2024 - 30/09/2024
  Vehicle Maintenance Depot",,,1,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"2,695.79"
REGN - Regeneration & Housing,FAB - Facilities,"Site 5 01/09/2024 -
  30/09/2024 Foxhill Bank Pavillion",,,2,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,973.31
REGN - Regeneration & Housing,FAB - Facilities,"Site 7 01/09/2024 -
  30/09/2024 Peel Park Bowling Kiosk",,,3,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,57.49
REGN - Regeneration & Housing,FAB - Facilities,"Site 9 01/09/2024 -
  30/09/2024 Bowls House Rhyddings Park",,,4,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,54.86
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/08/2023 -
  31/08/2023 20 Environmental Health Offices",,,5,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,302.93-
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 02/11/2023 -
  30/11/2023 20 Environmental Health Offices",,,6,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,251.31-
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/12/2023 -
  31/12/2023 20 Environmental Health Offices",,,7,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,291.54-
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/01/2024 -
  31/01/2024 20 Environmental Health Offices",,,8,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,291.54-
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/02/2024 -
  29/02/2024 20 Environmental Health Offices",,,9,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,109.83-
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/03/2024 -
  31/03/2024 20 Environmental Health Offices",,,10,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,924.73
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/03/2024 -
  31/03/2024 20 Environmental Health Offices",,,11,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,924.73-
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/04/2024 -
  30/04/2024 20 Environmental Health Offices",,,12,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,937.98
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/04/2024 -
  30/04/2024 20 Environmental Health Offices",,,13,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,937.98-
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/05/2024 -
  31/05/2024 20 Environmental Health Offices",,,14,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,969.46
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/05/2024 -
  31/05/2024 20 Environmental Health Offices",,,15,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,969.46-
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/06/2024 -
  30/06/2024 20 Environmental Health Offices",,,16,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,938.10
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/06/2024 -
  30/06/2024 20 Environmental Health Offices",,,17,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,938.10-
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/07/2024 -
  31/07/2024 20 Environmental Health Offices",,,18,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,969.46
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/07/2024 -
  31/07/2024 20 Environmental Health Offices",,,19,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,969.46-
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/08/2024 -
  31/08/2024 20 Environmental Health Offices",,,20,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,959.98
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/08/2024 -
  31/08/2024 20 Environmental Health Offices",,,21,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,959.98-
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/09/2024 -
  30/09/2024 20 Environmental Health Offices",,,22,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,25.89
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/09/2024 -
  30/09/2024 20 Environmental Health Offices",,,23,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,25.89-
REGN - Regeneration & Housing,FAB - Facilities,"01/09/2024 -
  30/09/2024 Scaitcliffe House",,,24,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"7,273.36"
REGN - Regeneration & Housing,FAB - Facilities,"Site 16 01/07/2024 -
  31/07/2024 Floodlighting Mercer House",,,25,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,29.15
REGN - Regeneration & Housing,FAB - Facilities,"Site 16 01/08/2024 -
  31/08/2024 Floodlighting Mercer House",,,26,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,29.15
REGN - Regeneration & Housing,FAB - Facilities,"Site 16 01/09/2024 -
  30/09/2024 Floodlighting Mercer House",,,27,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,28.20
REGN - Regeneration & Housing,FAB - Facilities,"Site 17 02/09/2024 -
  01/10/2024 Oakhill Park Centre",,,28,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,280.80
REGN - Regeneration & Housing,FAB - Facilities,"Site 18 01/08/2023 -
  31/08/2023 5-6 Market Hall",,,29,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,478.14-
REGN - Regeneration & Housing,FAB - Facilities,"Site 18 01/06/2024 -
  30/06/2024 5-6 Market Hall",,,30,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,457.26-
REGN - Regeneration & Housing,FAB - Facilities,"Site 18 01/07/2024 -
  01/08/2024 5-6 Market Hall",,,31,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,468.38-
REGN - Regeneration & Housing,FAB - Facilities,"Site 18 02/08/2024 -
  01/09/2024 5-6 Market Hall",,,32,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,458.66-
REGN - Regeneration & Housing,FAB - Facilities,"01/09/2024 -
  30/09/2024 Accrington Market Hall",,,33,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"4,923.76"
REGN - Regeneration & Housing,FAB - Facilities,"Site 19 02/09/2024 -
  01/10/2024 Wilsons Playing Fields",,,34,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"1,770.94"
REGN - Regeneration & Housing,FAB - Facilities,"01/09/2024 -
  30/09/2024 Hyndburn Sports Centre",,,35,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,0.83
REGN - Regeneration & Housing,FAB - Facilities,"Site 23 01/09/2024 -
  30/09/2024 Gatty Park Greenhouse Site",,,36,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,38.62
REGN - Regeneration & Housing,FAB - Facilities,"Site 24 01/06/2023 -
  01/07/2023 Willows Lane Depot",,,37,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"2,444.64-"
REGN - Regeneration & Housing,FAB - Facilities,"Site 24 01/06/2023 -
  01/07/2023 Willows Lane Depot",,,38,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"11,467.06"
REGN - Regeneration & Housing,FAB - Facilities,"Site 24 01/08/2024 -
  31/08/2024 Willows Lane Depot",,,39,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"2,883.35"
REGN - Regeneration & Housing,FAB - Facilities,"Site 24 01/09/2024 -
  30/09/2024 Willows Lane Depot",,,40,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"3,021.07"
REGN - Regeneration & Housing,FAB - Facilities,"02/09/2024 -
  01/10/2024 RANGER STREET DEPOT",,,41,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,189.69
REGN - Regeneration & Housing,FAB - Facilities,"Site 26 01/09/2024 -
  30/09/2024 Bowl Houses Milnshaw Park",,,42,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,55.48
REGN - Regeneration & Housing,FAB - Facilities,"Site 27 02/09/2024 -
  01/10/2024 The Stable & Motor House",,,43,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,431.69
REGN - Regeneration & Housing,FAB - Facilities,"01/09/2024 -
  30/09/2024 Accrington Town Hall",,,44,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"3,920.86"
REGN - Regeneration & Housing,FAB - Facilities,"Site 29 02/09/2024 -
  01/10/2024 South Service Yard Accrington Marke",,,45,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,72.65
REGN - Regeneration & Housing,FAB - Facilities,"01/09/2024 -
  30/09/2024 Community Hub - Fielding Lane",,,46,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,877.26
REGN - Regeneration & Housing,FAB - Facilities,01/09/2024 - 30/09/2024 Mercer Hall Leisure Centre,,,47,,CRINV0005874,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"4,824.15"
REGN - Regeneration & Housing,FAD - Housing Advice,Agency Staff  - Period Ending: 27-Oct-2024,,,1,,CRINV0005973,Vivid Resourcing,,26/11/2024,,"1,716.84"
ENVH - Environmental Health,BAB - Environmental Protection,Temporary Staff w/e 27/10/24,,,1,,CRINV0005983,Vivid Resourcing,,26/11/2024,,"2,220.00"
ENVH - Environmental Health,BAB - Environmental Protection,Temporary Staff w/e 27/10/24,,,1,,CRINV0005984,Vivid Resourcing,,26/11/2024,,593.46
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/c 21.10.24 ,,,1,,CRINV0005991,Oyster Partnership,,26/11/2024,,"2,234.63"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 27.10.24 ,,,1,,CRINV0005993,Vivid Resourcing,,26/11/2024,,"2,160.00"
ENVH - Environmental Health,BAA - Housing Standards,Agency costs w/c 21/10/24 ,,,1,,CRINV0006030,Oyster Partnership,,26/11/2024,,"1,248.00"
ENVH - Environmental Health,BAA - Housing Standards,Agency Costs w/c 21/10/24 ,,,1,,CRINV0006031,Oyster Partnership,,26/11/2024,,827.82
RESO - Resources,AAB - Benefits & Customer Contact,Professional Recovery Fees VAT,,,1,,CRINV0006032,Marston (Holdings) Ltd,,26/11/2024,,"2,030.77"
REGN - Regeneration & Housing,FAB - Facilities,Electricity invoice 5-6 Market Hall 01.05.24 - 17.05.24,,,1,,CRINV0006036,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,258.25
REGN - Regeneration & Housing,FAB - Facilities,Electricity invoice 5-6 Market Hall 01 May 24 - 17 May 24,,,1,,CRINV0006037,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,258.25
REGN - Regeneration & Housing,FAB - Facilities,Electricity invoice 5-6 Market Hall 01 Aug 23 - 31 Aug 23,,,1,,CRINV0006038,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,478.17
RESO - Resources,AAB - Benefits & Customer Contact,Vat on Fees,,,1,,CRINV0006053,Marston (Holdings) Ltd,,26/11/2024,,516.76
ENVS - Environmental Services,CAF - CVMU,Annual Maintenance 01.11.24 - 30.11.25,,,1,,CRINV0006055,Direct Voice And Data,,26/11/2024,,687.62
PLAN - Planning & Transportation,EAB - Engineers & Transportation,Trash clearance at various sites,,,1,,CRINV0006058,Marchbridge Builders Ltd,,26/11/2024,,"3,330.59"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Funeral services,,,1,,CRINV0006082,Obitus (Vivedia Ltd),,26/11/2024,,"1,729.20"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Monthly Doc charges,,,1,,CRINV0006083,Minster Cleaning Services,,26/11/2024,,"1,478.22"
ENVS - Environmental Services,CAF - CVMU,Cage Tipper Hire 01/10/24 - 01/11/24,,,1,,CRINV0006094,Leeds Commercial Vehicle Hire,,26/11/2024,,"2,125.20"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Cleaning Nov 24 - Rhyddings,,,1,,CRINV0006095,ServiceMaster Clean Contract Services AAA,,26/11/2024,,652.99
ENVS - Environmental Services,CAC - Parks & Cemeteries,temp staff w/e 27/10/24,,,1,,CRINV0006097,Proman Supply Chain Ltd,,26/11/2024,,624.73
ENVS - Environmental Services,CAC - Parks & Cemeteries,Cleaning charges Nov 24 - Whiteash,,,1,,CRINV0006098,ServiceMaster Clean Contract Services AAA,,26/11/2024,,265.86
ENVS - Environmental Services,CAC - Parks & Cemeteries,Temp Staff x 2 w/e 27/10/24,,,1,,CRINV0006099,Proman Supply Chain Ltd,,26/11/2024,,"1,169.28"
ENVS - Environmental Services,CAC - Parks & Cemeteries,November cleaning charges - Wilsons,,,1,,CRINV0006100,ServiceMaster Clean Contract Services AAA,,26/11/2024,,725.57
ENVS - Environmental Services,CAC - Parks & Cemeteries,Re Great Harwood Memorial Park & associated work,,,1,,CRINV0006101,The Prospects Foundation,,26/11/2024,,"5,281.25"
ENVS - Environmental Services,CAB - Other Environmental Services,Vehicle Hire 29.10.24,,,1,,CRINV0006102,Stanley Brothers (Tippers) Ltd,,26/11/2024,,648.00
RESO - Resources,AAB - Benefits & Customer Contact,professional charges,,,1,,CRINV0006105,Greenhalgh Kerr,,26/11/2024,,"3,738.00"
RESO - Resources,AAB - Benefits & Customer Contact,Non-VAT disbursements,,,2,,CRINV0006105,Greenhalgh Kerr,,26/11/2024,,119.00-
ENVS - Environmental Services,CAE - Waste Services,rental maintenance and recycling charge,,,1,,CRINV0006106,Select Marketing Nw Ltd,,26/11/2024,,370.80
ENVS - Environmental Services,CAB - Other Environmental Services,Service Charges - 1 Month,,,1,,CRINV0006107,Trakm8 Holdings Plc,,26/11/2024,,133.44
ENVS - Environmental Services,CAB - Other Environmental Services,Service Charges - 1 month,,,2,,CRINV0006107,Trakm8 Holdings Plc,,26/11/2024,,40.01
ENVS - Environmental Services,CAB - Other Environmental Services,Service Charges - 1 month,,,3,,CRINV0006107,Trakm8 Holdings Plc,,26/11/2024,,40.01
ENVS - Environmental Services,CAB - Other Environmental Services,Service Charges - 1 month,,,4,,CRINV0006107,Trakm8 Holdings Plc,,26/11/2024,,13.33
ENVS - Environmental Services,CAB - Other Environmental Services,Service Charges - 1 Month,,,5,,CRINV0006107,Trakm8 Holdings Plc,,26/11/2024,,26.72
ENVS - Environmental Services,CAB - Other Environmental Services,Service Charges - 1 month,,,6,,CRINV0006107,Trakm8 Holdings Plc,,26/11/2024,,13.33
ENVS - Environmental Services,CAB - Other Environmental Services,Service Charges - 1 month,,,7,,CRINV0006107,Trakm8 Holdings Plc,,26/11/2024,,13.33
ENVS - Environmental Services,CAB - Other Environmental Services,Service Charges - 1 month,,,8,,CRINV0006107,Trakm8 Holdings Plc,,26/11/2024,,13.33
ENVS - Environmental Services,CAB - Other Environmental Services,Service Charges - 1 month,,,9,,CRINV0006107,Trakm8 Holdings Plc,,26/11/2024,,13.33
ENVS - Environmental Services,CAB - Other Environmental Services,Service Charges - 1 month,,,10,,CRINV0006107,Trakm8 Holdings Plc,,26/11/2024,,13.33
ENVS - Environmental Services,CAC - Parks & Cemeteries,Inseego Fleet,,,1,,CRINV0006112,Inseego UK Ltd,,26/11/2024,,288.00
REGN - Regeneration & Housing,FAF - Strategic Housing,Saturn Suite Hire 30/10/24,,,1,,CRINV0006115,Globe Enterprises Ltd,,26/11/2024,,251.16
RESO - Resources,AAB - Benefits & Customer Contact,Recharge of cleaning cost at Broadway Oct 24,,,1,,CRINV0006129,Hyndburn Leisure,,26/11/2024,,"1,813.60"
PLAN - Planning & Transportation,EAC - Green Infrastructure,Year 2 payment Tree action programme,,,1,,CRINV0006133,The Prospects Foundation,,26/11/2024,,"20,000.00"
RESO - Resources,AAB - Benefits & Customer Contact,Debt Collection Fees,,,1,,CRINV0006137,Marston (Holdings) Ltd,,26/11/2024,,537.70
ENVS - Environmental Services,CAF - CVMU,Labour and materials Van repairs,,,1,,CRINV0006140,Scarab Sweepers Limited,,26/11/2024,,465.58
ENVS - Environmental Services,CAF - CVMU,Callout to repair columns ,,,1,,CRINV0006142,Mrb Workshop Services,,26/11/2024,,356.40
ENVS - Environmental Services,CAF - CVMU,Supplementary cleaning CVMU Nov 24,,,1,,CRINV0006144,ServiceMaster Clean Contract Services AAA,,26/11/2024,,967.44
LEGL - Legal & Democratic,DAH - Licencing,professional fees,,,1,,CRINV0006197,Kenworthy`s Chambers,,26/11/2024,,900.00
RESO - Resources,AAB - Benefits & Customer Contact,Electricity recharge,,,1,,CRINV0006220,Hyndburn Leisure,,26/11/2024,,"2,302.64"
RESO - Resources,AAB - Benefits & Customer Contact,Gas recharge,,,2,,CRINV0006220,Hyndburn Leisure,,26/11/2024,,"1,408.19"
RESO - Resources,AAB - Benefits & Customer Contact,Water recharge,,,3,,CRINV0006220,Hyndburn Leisure,,26/11/2024,,64.88
ENVS - Environmental Services,CAA - Environmental Maintenance,Fees- Oct 24,,,1,,CRINV0006253,Aspen Valley Boarding Kennels & Cattery,,26/11/2024,,"3,258.28"
ENVS - Environmental Services,CAB - Other Environmental Services,Cleaning - Nov 24,,,1,,CRINV0006259,ServiceMaster Clean Contract Services AAA,,26/11/2024,,"1,257.69"
ENVS - Environmental Services,CAF - CVMU,Charges - Oct 24,,,1,,CRINV0006260,Suez Recycling And Recovery Uk Ltd,,26/11/2024,,"3,174.50"
ENVS - Environmental Services,CAF - CVMU,Charges - Oct 24,,,2,,CRINV0006260,Suez Recycling And Recovery Uk Ltd,,26/11/2024,,"12,361.89"
ENVS - Environmental Services,CAC - Parks & Cemeteries,2 benches & sign posts,,,1,,CRINV0006265,Groundwork & Leisure Services Limited,,26/11/2024,,"2,724.00"
ENVS - Environmental Services,CAE - Waste Services,Agency staff - w/e 03.11.24,,,1,,CRINV0006274,Rapid Recruitment Ltd,,26/11/2024,,"2,112.19"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Agency Staff - w/e 03.11.24,,,1,,CRINV0006275,Proman Supply Chain Ltd,,26/11/2024,,780.91
LEGL - Legal & Democratic,DAB - Human Resources,Enlighten signs,,,1,,CRINV0006299,Scott Dawson Advertising Ltd,,26/11/2024,,"1,068.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,Telephone Interpreting Services,,,1,,CRINV0006311,Clear Voice,,26/11/2024,,286.69
REGN - Regeneration & Housing,FAB - Facilities,"HSL Water Compliance - Monthly Monitoring
  October 2024",,,1,,CRINV0006330,HSL Compliance,,26/11/2024,,62.40
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,2,,CRINV0006330,HSL Compliance,,26/11/2024,,74.40
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,3,,CRINV0006330,HSL Compliance,,26/11/2024,,50.40
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,4,,CRINV0006330,HSL Compliance,,26/11/2024,,34.80
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,5,,CRINV0006330,HSL Compliance,,26/11/2024,,43.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,6,,CRINV0006330,HSL Compliance,,26/11/2024,,54.00
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,7,,CRINV0006330,HSL Compliance,,26/11/2024,,51.60
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,8,,CRINV0006330,HSL Compliance,,26/11/2024,,37.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,9,,CRINV0006330,HSL Compliance,,26/11/2024,,50.40
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,10,,CRINV0006330,HSL Compliance,,26/11/2024,,33.60
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,11,,CRINV0006330,HSL Compliance,,26/11/2024,,31.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,12,,CRINV0006330,HSL Compliance,,26/11/2024,,33.60
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,13,,CRINV0006330,HSL Compliance,,26/11/2024,,40.80
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,14,,CRINV0006330,HSL Compliance,,26/11/2024,,34.80
