Department Area,Service Area,Description,,,Line,,HBC Ref No.,Name:  ,,Payment Date,,Amount Paid
RESO - Resources,AAF - Finance,October Land Registry Fee,,,9,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,10,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,11,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,12,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,13,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,14,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,15,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,16,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,17,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,18,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,19,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,20,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,21,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,22,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,23,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,24,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,25,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,26,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,27,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,28,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,29,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,30,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,31,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,32,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,33,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,34,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,35,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,36,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
