Department Area,Service Area,Description,,,Line,,HBC Ref No.,Name:  ,,,Payment Date,,Amount Paid
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/09/2023 -
  01/10/2023 20 Environmental Health Offices",,,20,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,69.16-
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/09/2023 -
  01/10/2023 20 Environmental Health Offices",,,21,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,259.10
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 02/10/2023 -
  01/11/2023 20 Environmental Health Offices",,,22,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,69.16-
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 02/10/2023 -
  01/11/2023 20 Environmental Health Offices",,,23,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,266.26
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 02/11/2023 -
  30/11/2023 20 Environmental Health Offices",,,24,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,735.83
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/12/2023 -
  31/12/2023 20 Environmental Health Offices",,,25,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,814.30
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/01/2024 -
  31/01/2024 20 Environmental Health Offices",,,26,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,813.31
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/02/2024 -
  29/02/2024 20 Environmental Health Offices",,,27,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,761.14
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/03/2024 -
  31/03/2024 20 Environmental Health Offices",,,28,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,813.74
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/04/2024 -
  01/05/2024 20 Environmental Health Offices",,,29,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,794.43
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 02/05/2024 -
  31/05/2024 20 Environmental Health Offices",,,30,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,817.94
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/06/2024 -
  30/06/2024 20 Environmental Health Offices",,,31,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,792.89
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/07/2024 -
  31/07/2024 20 Environmental Health Offices",,,32,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,646.66
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/08/2024 -
  31/08/2024 20 Environmental Health Offices",,,33,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,992.22
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/09/2024 -
  30/09/2024 20 Environmental Health Offices",,,34,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,792.89
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/10/2024 -
  31/10/2024 20 Environmental Health Offices",,,35,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,728.44
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/11/2024 -
  01/12/2024 20 Environmental Health Offices",,,36,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,866.49
REGN - Regeneration & Housing,FAB - Facilities,"Site 13 02/11/2024 -
  01/12/2024 Elmfield Hall Flats - Communal Ligh",,,37,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,54.77
REGN - Regeneration & Housing,FAB - Facilities,"Site 14 02/11/2024 -
  01/12/2024 Bandstand Oakhill Park",,,38,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,40.75
REGN - Regeneration & Housing,FAB - Facilities,"01/10/2024 -
  31/10/2024 Scaitcliffe House",,,39,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,"9,531.81"
REGN - Regeneration & Housing,FAB - Facilities,"01/11/2024 -
  30/11/2024 Scaitcliffe House",,,40,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,"12,924.69"
REGN - Regeneration & Housing,FAB - Facilities,"Site 16 01/11/2024 -
  30/11/2024 Floodlighting Mercer House",,,41,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,28.20
REGN - Regeneration & Housing,FAB - Facilities,"Site 17 02/11/2024 -
  01/12/2024 Oakhill Park Centre",,,42,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,267.32
REGN - Regeneration & Housing,FAB - Facilities,"01/11/2024 -
  30/11/2024 Accrington Market Hall",,,43,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,"7,973.88"
REGN - Regeneration & Housing,FAB - Facilities,"Site 19 02/11/2024 -
  01/12/2024 Wilsons Playing Fields",,,44,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,"2,297.38"
REGN - Regeneration & Housing,FAB - Facilities,"Site 20 02/11/2024 -
  01/12/2024 Dill Hall Cemetry",,,45,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,27.99
REGN - Regeneration & Housing,FAB - Facilities,"01/11/2024 -
  30/11/2024 Hyndburn Sports Centre",,,46,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,0.83
REGN - Regeneration & Housing,FAB - Facilities,"Site 21 23/10/2024 -
  01/12/2024 Haworth Art Gallery",,,47,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,"1,882.02"
REGN - Regeneration & Housing,FAB - Facilities,"Site 22 01/11/2023 -
  30/11/2023 Wilson Playing Fields",,,48,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,"2,964.80-"
REGN - Regeneration & Housing,FAB - Facilities,"Site 22 01/11/2023 -
  30/11/2023 Wilson Playing Fields",,,49,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,"2,964.83"
REGN - Regeneration & Housing,FAB - Facilities,"Site 22 02/03/2024 -
  31/03/2024 Wilson Playing Fields",,,50,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,"2,568.58-"
REGN - Regeneration & Housing,FAB - Facilities,"Site 22 02/03/2024 -
  31/03/2024 Wilson Playing Fields",,,51,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,302.34
REGN - Regeneration & Housing,FAB - Facilities,"Site 22 01/04/2024 -
  01/05/2024 Wilson Playing Fields",,,52,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,246.59
REGN - Regeneration & Housing,FAB - Facilities,"Site 22 02/05/2024 -
  01/06/2024 Wilson Playing Fields",,,53,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,246.59
REGN - Regeneration & Housing,FAB - Facilities,"Site 22 02/06/2024 -
  01/07/2024 Wilson Playing Fields",,,54,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,238.79
REGN - Regeneration & Housing,FAB - Facilities,"Site 22 02/07/2024 -
  01/08/2024 Wilson Playing Fields",,,55,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,246.99
REGN - Regeneration & Housing,FAB - Facilities,"Site 22 02/08/2024 -
  01/09/2024 Wilson Playing Fields",,,56,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,"2,347.03-"
REGN - Regeneration & Housing,FAB - Facilities,"Site 22 02/08/2024 -
  01/09/2024 Wilson Playing Fields",,,57,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,246.59
REGN - Regeneration & Housing,FAB - Facilities,"Site 22 02/09/2024 -
  18/10/2024 Wilson Playing Fields",,,58,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,"3,866.24-"
REGN - Regeneration & Housing,FAB - Facilities,"Site 22 02/09/2024 -
  18/10/2024 Wilson Playing Fields",,,59,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,374.20
REGN - Regeneration & Housing,FAB - Facilities,"Site 22 19/10/2024 -
  01/11/2024 Wilson Playing Fields",,,60,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,"1,251.66-"
REGN - Regeneration & Housing,FAB - Facilities,"Site 22 19/10/2024 -
  01/11/2024 Wilson Playing Fields",,,61,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,111.18
REGN - Regeneration & Housing,FAB - Facilities,"Site 22 02/11/2024 -
  30/11/2024 Wilson Playing Fields",,,62,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,253.77
REGN - Regeneration & Housing,FAB - Facilities,"Site 23 01/11/2024 -
  30/11/2024 Gatty Park Greenhouse Site",,,63,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,38.62
REGN - Regeneration & Housing,FAB - Facilities,"02/11/2024 -
  01/12/2024 RANGER STREET DEPOT",,,64,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,184.24
REGN - Regeneration & Housing,FAB - Facilities,"Site 26 01/11/2024 -
  30/11/2024 Bowl Houses Milnshaw Park",,,65,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,167.49
REGN - Regeneration & Housing,FAB - Facilities,"Site 27 02/11/2024 -
  01/12/2024 The Stable & Motor House",,,66,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,628.25
REGN - Regeneration & Housing,FAB - Facilities,"Site 28 02/11/2024 -
  01/12/2024 Cemetery Office Burnley Rd",,,67,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,622.62
REGN - Regeneration & Housing,FAB - Facilities,"01/11/2024 -
  30/11/2024 Accrington Town Hall",,,68,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,"4,613.22"
REGN - Regeneration & Housing,FAB - Facilities,"Site 29 02/11/2024 -
  01/12/2024 South Service Yard Accrington Marke",,,69,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,86.10
REGN - Regeneration & Housing,FAB - Facilities,"Site 30 01/11/2024 -
  30/11/2024 Park Pavilion Lowerfold Road",,,70,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,52.98
REGN - Regeneration & Housing,FAB - Facilities,"01/10/2024 -
  31/10/2024 Community Hub - Fielding Lane",,,71,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,"3,824.38"
REGN - Regeneration & Housing,FAB - Facilities,"01/11/2024 -
  30/11/2024 Community Hub - Fielding Lane",,,72,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,"5,911.19"
REGN - Regeneration & Housing,FAB - Facilities,"Site 31 02/11/2024 -
  01/12/2024 Street Lighting Feeder Pillar Clock",,,73,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,53.18
REGN - Regeneration & Housing,FAB - Facilities,Late payment Interest Charges,,,74,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,152.51
REGN - Regeneration & Housing,FAB - Facilities,Remove high level plaque,,,1,,CRINV0006598,Pilkington Bros (Church) Ltd,,,19/12/2024,,379.20
LEGL - Legal & Democratic,DAD - Management Legal & Dem,Searches Oct 24,,,1,,CRINV0006605,Lancashire County Council,,,19/12/2024,,586.80
REGN - Regeneration & Housing,FAB - Facilities,Gold in service inspection,,,1,,CRINV0006646,Intelligent Energy Saving Company Ltd,,,19/12/2024,,"2,340.00"
ENVH - Environmental Health,BAB - Environmental Protection,Env Protection staff. 24.11.24  ,,,1,,CRINV0006651,Vivid Resourcing,,,19/12/2024,,"2,220.00"
RESO - Resources,AAD - ICT,Installation of electrical goods,,,1,,CRINV0006682,Crystal AV IT Limited,,,19/12/2024,,"2,620.80"
ENVH - Environmental Health,BAA - Housing Standards,Staff. wc 18.11.24. ,,,1,,CRINV0006685,Oyster Partnership,,,19/12/2024,,"1,372.80"
PLAN - Planning & Transportation,EAD - Planning,Staff wc 18.11.24  ,,,1,,CRINV0006686,Oyster Partnership,,,19/12/2024,,"2,445.30"
ENVH - Environmental Health,BAA - Housing Standards,Staff wc 18.11.24,,,1,,CRINV0006687,Oyster Partnership,,,19/12/2024,,709.02
ENVS - Environmental Services,CAC - Parks & Cemeteries,Agency Staff W/C 18/11/2024,,,1,,CRINV0006706,Proman Supply Chain Ltd,,,19/12/2024,,657.72
REGN - Regeneration & Housing,FAB - Facilities,Labour charges,,,1,,CRINV0006710,Lancashire Gas Services,,,19/12/2024,,342.00
RESO - Resources,AAF - Finance,Maintenance and water Scaitcliffe Water dispenser,,,1,,CRINV0006727,Select Marketing Nw Ltd,,,19/12/2024,,494.40
REGN - Regeneration & Housing,FAB - Facilities,"Clocks Amenity Lighting 01.04.2024 -
  31.10.2024",,,1,,CRINV0006732,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,19/12/2024,,42.89
REGN - Regeneration & Housing,FAB - Facilities,Viaduct Amenity Lighting 01.04.2024 - 31.10.2024,,,2,,CRINV0006732,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,19/12/2024,,"1,265.22"
REGN - Regeneration & Housing,FAB - Facilities,Bus Shelters Amenity Lighting 01.04.2024 - 31.10.2024,,,3,,CRINV0006732,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,19/12/2024,,464.63
REGN - Regeneration & Housing,FAB - Facilities,Car Parks Amenity Lighting 01.04.2024 - 31.10.2024,,,4,,CRINV0006732,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,19/12/2024,,"1,000.75"
REGN - Regeneration & Housing,FAB - Facilities,CCTV Amenity Lighting 01.04.2024 - 31.10.2024,,,5,,CRINV0006732,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,19/12/2024,,85.78
REGN - Regeneration & Housing,FAB - Facilities,Clocks Amenity Lighting 01.04.2024 - 31.10.2024,,,6,,CRINV0006732,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,19/12/2024,,129.55
REGN - Regeneration & Housing,FAB - Facilities,Viaduct Amenity Lighting 01.04.2024 - 31.10.2024,,,7,,CRINV0006732,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,19/12/2024,,"3,821.53"
REGN - Regeneration & Housing,FAB - Facilities,Bus Shelters Amenity Lighting 01.04.2024 - 31.10.2024,,,8,,CRINV0006732,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,19/12/2024,,"1,403.40"
REGN - Regeneration & Housing,FAB - Facilities,Car Parks Amenity Lighting 01.04.2024 - 31.10.2024,,,9,,CRINV0006732,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,19/12/2024,,"3,022.70"
REGN - Regeneration & Housing,FAB - Facilities,CCTV Amenity Lighting 01.04.2024 - 31.10.2024,,,10,,CRINV0006732,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,19/12/2024,,259.09
ENVS - Environmental Services,CAC - Parks & Cemeteries,"Accrington Crem Keepsakes, Tributes and webcasts",,,1,,CRINV0006737,Obitus (Vivedia Ltd),,,19/12/2024,,"2,520.00"
PLAN - Planning & Transportation,EAC - Green Infrastructure,Various plant/tree saplings,,,1,,CRINV0006738,British Hardwood Tree Nursery Limited,,,19/12/2024,,"5,220.48"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Cremation Materials,,,1,,CRINV0006743,Teleshore (Uk) Ltd,,,19/12/2024,,"1,284.60"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Cremation and Incineration Equipment Service,,,1,,CRINV0006748,Facultatieve Technologies,,,19/12/2024,,"13,646.68"
LEGL - Legal & Democratic,DAK - Community Safety,Buffet ,,,1,,CRINV0006752,Northern Delights (Nw) Limited,,,19/12/2024,,259.00
ENVS - Environmental Services,CAF - CVMU,Parts,,,1,,CRINV0006758,Dennis Eagle Limited,,,19/12/2024,,637.34
ENVS - Environmental Services,CAF - CVMU,Parts & Materials,,,1,,CRINV0006766,Terberg Matec Uk,,,19/12/2024,,472.82
ENVS - Environmental Services,CAF - CVMU,Cleaning Dec 24 - cvmu,,,1,,CRINV0006767,ServiceMaster Clean Contract Services AAA,,,19/12/2024,,967.44
ENVS - Environmental Services,CAF - CVMU,Parts,,,1,,CRINV0006772,Chorley Nissan,,,19/12/2024,,"1,273.18"
RESO - Resources,AAD - ICT,Copier charges Period 03/10/2024 - 01/11/2024,,,1,,CRINV0006774,Xbm Ltd,,,19/12/2024,,528.97
RESO - Resources,AAF - Finance,All Pay Fee`s,,,1,,CRINV0006776,Allpay Ltd,,,19/12/2024,,"1,264.68"
LEGL - Legal & Democratic,DAI - Land Charges,2nd Quarter Oct 24,,,1,,CRINV0006781,Pendle Borough Council,,,19/12/2024,,"11,479.40"
ENVS - Environmental Services,CAF - CVMU,Vehicle parts,,,1,,CRINV0006782,Dennis Eagle Limited,,,19/12/2024,,"1,003.73"
LEGL - Legal & Democratic,DAG - Elections,Scofield election law,,,1,,CRINV0006783,Thomson Reuters Professional Uk Ltd,,,19/12/2024,,374.00
RESO - Resources,AAF - Finance,Rental Charges,,,1,,CRINV0006789,Jcb Finance Ltd,,,19/12/2024,,318.02
RESO - Resources,AAB - Benefits & Customer Contact,Electric charges - November 24,,,1,,CRINV0006790,Hyndburn Leisure,,,19/12/2024,,"1,484.28"
RESO - Resources,AAB - Benefits & Customer Contact,Gas Charges - November 24,,,2,,CRINV0006790,Hyndburn Leisure,,,19/12/2024,,850.82
RESO - Resources,AAB - Benefits & Customer Contact,Water charges - November 24,,,3,,CRINV0006790,Hyndburn Leisure,,,19/12/2024,,56.29
ENVS - Environmental Services,CAC - Parks & Cemeteries,Monthly Doc Charges - Cemetery,,,1,,CRINV0006791,Minster Cleaning Services,,,19/12/2024,,"1,478.22"
ENVH - Environmental Health,BAB - Environmental Protection,Agency staff - w/e 01.12.24 ,,,1,,CRINV0006794,Vivid Resourcing,,,19/12/2024,,"2,220.00"
ENVH - Environmental Health,BAB - Environmental Protection,Agency staff - w/e 01.12.24 ,,,1,,CRINV0006795,Vivid Resourcing,,,19/12/2024,,279.72
ENVS - Environmental Services,CAF - CVMU,Vehicle parts and materials,,,1,,CRINV0006800,Terberg Matec Uk,,,19/12/2024,,494.41
RESO - Resources,AAB - Benefits & Customer Contact,Debt collection,,,1,,CRINV0006803,Marston (Holdings) Ltd,,,19/12/2024,,636.58
RESO - Resources,AAB - Benefits & Customer Contact,Cleaning Broadway Nov 24,,,1,,CRINV0006806,Hyndburn Leisure,,,19/12/2024,,"1,813.60"
ENVH - Environmental Health,BAA - Housing Standards,Staff w/c 18.11.24 ,,,1,,CRINV0006807,Oyster Partnership,,,19/12/2024,,"1,606.80"
ENVH - Environmental Health,BAA - Housing Standards,Staff wc 25.11.24 ,,,1,,CRINV0006808,Oyster Partnership,,,19/12/2024,,"1,216.80"
ENVH - Environmental Health,BAA - Housing Standards,Staff wc 25.11.24 ,,,1,,CRINV0006809,Oyster Partnership,,,19/12/2024,,"1,611.79"
PLAN - Planning & Transportation,EAD - Planning,Staff wc 25.11.24,,,1,,CRINV0006810,Oyster Partnership,,,19/12/2024,,"2,211.37"
ENVH - Environmental Health,BAA - Housing Standards,Staff wc 25.11.24,,,1,,CRINV0006811,Oyster Partnership,,,19/12/2024,,747.36
REGN - Regeneration & Housing,FAB - Facilities,Town Hall fire panel fault,,,1,,CRINV0006815,Full Circuit Fire & Security Ltd,,,19/12/2024,,371.56
ENVS - Environmental Services,CAB - Other Environmental Services,supplementary cleaning,,,1,,CRINV0006826,ServiceMaster Clean Contract Services AAA,,,19/12/2024,,"1,257.69"
REGN - Regeneration & Housing,FAB - Facilities,"HSL Water Compliance - Monthly Monitoring
  November 2024",,,1,,CRINV0006828,HSL Compliance,,,19/12/2024,,34.80
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring November 2024,,,2,,CRINV0006828,HSL Compliance,,,19/12/2024,,50.40
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring November 2024,,,3,,CRINV0006828,HSL Compliance,,,19/12/2024,,76.80
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring November 2024,,,4,,CRINV0006828,HSL Compliance,,,19/12/2024,,62.40
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring November 2024,,,5,,CRINV0006828,HSL Compliance,,,19/12/2024,,43.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring November 2024,,,6,,CRINV0006828,HSL Compliance,,,19/12/2024,,34.80
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring November 2024,,,7,,CRINV0006828,HSL Compliance,,,19/12/2024,,99.60
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring November 2024,,,8,,CRINV0006828,HSL Compliance,,,19/12/2024,,51.60
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring November 2024,,,9,,CRINV0006828,HSL Compliance,,,19/12/2024,,50.40
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring November 2024,,,10,,CRINV0006828,HSL Compliance,,,19/12/2024,,45.60
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring November 2024,,,11,,CRINV0006828,HSL Compliance,,,19/12/2024,,51.60
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring November 2024,,,12,,CRINV0006828,HSL Compliance,,,19/12/2024,,40.80
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring November 2024,,,13,,CRINV0006828,HSL Compliance,,,19/12/2024,,54.00
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring November 2024,,,14,,CRINV0006828,HSL Compliance,,,19/12/2024,,37.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring November 2024,,,15,,CRINV0006828,HSL Compliance,,,19/12/2024,,46.80
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring November 2024,,,16,,CRINV0006828,HSL Compliance,,,19/12/2024,,74.40
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring November 2024,,,17,,CRINV0006828,HSL Compliance,,,19/12/2024,,33.60
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring November 2024,,,18,,CRINV0006828,HSL Compliance,,,19/12/2024,,42.00
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring November 2024,,,19,,CRINV0006828,HSL Compliance,,,19/12/2024,,37.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring November 2024,,,20,,CRINV0006828,HSL Compliance,,,19/12/2024,,43.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring November 2024,,,21,,CRINV0006828,HSL Compliance,,,19/12/2024,,43.20
LEGL - Legal & Democratic,DAA - Democratic Services,Chair,,,1,,CRINV0006829,Bevlan Office Interiors Ltd,,,19/12/2024,,351.78
RESO - Resources,AAB - Benefits & Customer Contact,Vat collected on Fees,,,1,,CRINV0006831,Marston (Holdings) Ltd,,,19/12/2024,,"3,318.71"
RESO - Resources,AAB - Benefits & Customer Contact,Vat collected on Fees,,,1,,CRINV0006832,Marston (Holdings) Ltd,,,19/12/2024,,498.34
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 01.12.24,,,1,,CRINV0006834,Vivid Resourcing,,,19/12/2024,,"2,160.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,CleaningWilsons Dec 24,,,1,,CRINV0006837,ServiceMaster Clean Contract Services AAA,,,19/12/2024,,725.57
ENVS - Environmental Services,CAC - Parks & Cemeteries,Cleaning Rhyddings Dec 24,,,1,,CRINV0006838,ServiceMaster Clean Contract Services AAA,,,19/12/2024,,652.99
ENVS - Environmental Services,CAC - Parks & Cemeteries,CleaningWhiteash Dec 24,,,1,,CRINV0006839,ServiceMaster Clean Contract Services AAA,,,19/12/2024,,265.86
ENVS - Environmental Services,CAB - Other Environmental Services,Hire of 8 wheeler 25.11.24,,,1,,CRINV0006846,Stanley Brothers (Tippers) Ltd,,,19/12/2024,,648.00
PLAN - Planning & Transportation,EAD - Planning,Legal fees,,,1,,CRINV0006850,Arevik Jackson,,,19/12/2024,,"1,440.00"
PLAN - Planning & Transportation,EAA - Building Control,Staff 18.11.24 w/c  ,,,1,,CRINV0006851,Confido Consult Ltd,,,19/12/2024,,"2,184.08"
RESO - Resources,AAB - Benefits & Customer Contact,Services Nov 24,,,1,,CRINV0006861,Critiqom,,,19/12/2024,,10.44
RESO - Resources,AAB - Benefits & Customer Contact,Services Nov 24,,,2,,CRINV0006861,Critiqom,,,19/12/2024,,281.77
RESO - Resources,AAB - Benefits & Customer Contact,Interim professional charges,,,1,,CRINV0006881,Greenhalgh Kerr,,,19/12/2024,,"2,761.60"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Servicing at Crematorium,,,1,,CRINV0006884,J & J Maintenance Services,,,19/12/2024,,665.93
ENVS - Environmental Services,CAF - CVMU,Steam clean of vehicles,,,1,,CRINV0006898,Keep Em Clean,,,19/12/2024,,262.50
ENVS - Environmental Services,CAF - CVMU,Steam clean of vehicles,,,1,,CRINV0006899,Keep Em Clean,,,19/12/2024,,262.50
ENVS - Environmental Services,CAF - CVMU,Steam cleaning of vehicles,,,1,,CRINV0006900,Keep Em Clean,,,19/12/2024,,262.50
RESO - Resources,AAF - Finance,HMRC Oct 24 Tax,,,1,,CRINV0006903,HM Revenue & Customs (Direct Debit),,,19/12/2024,,"91,153.04"
RESO - Resources,AAF - Finance,HMRC Oct 24 Student Loans,,,2,,CRINV0006903,HM Revenue & Customs (Direct Debit),,,19/12/2024,,"1,581.00"
RESO - Resources,AAF - Finance,HMRC Apprenticeship Levy Oct 24,,,3,,CRINV0006903,HM Revenue & Customs (Direct Debit),,,19/12/2024,,"2,581.00"
RESO - Resources,AAF - Finance,HMRC NI Oct 24,,,4,,CRINV0006903,HM Revenue & Customs (Direct Debit),,,19/12/2024,,"106,612.37"
ENVS - Environmental Services,CAE - Waste Services,Temp Staff w/e 01/12/24 ,,,1,,CRINV0006913,Rapid Recruitment Ltd,,,19/12/2024,,"1,508.71"
ENVS - Environmental Services,CAE - Waste Services,waste,,,1,,CRINV0006914,Suez Recycling And Recovery Uk Ltd,,,19/12/2024,,"2,622.96"
ENVS - Environmental Services,CAE - Waste Services,waste,,,2,,CRINV0006914,Suez Recycling And Recovery Uk Ltd,,,19/12/2024,,"10,214.04"
REGN - Regeneration & Housing,FAG - Regeneration,Professional Subs 01/01/2025,,,1,,CRINV0006927,RICS,,,19/12/2024,,558.00
