Department Area,Service Area,Description,,,Line,,HBC Ref No.,Name:  ,,,Payment Date,,Amount Paid
RESO - Resources,AAF - Finance,November Land Registry Fee,,,85,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,86,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,87,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,88,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,89,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,90,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,91,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,92,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,93,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,94,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,95,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,96,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,97,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,98,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,99,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,100,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
