,,,,,,
Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
Corporate Property,Security System Maintenance,HBC - KEY PLUS SECURITY - KEYHOLDER CALLOUTS - JULY 2023,B000024236/44845,Keyplus Security Ltd,08 August 2023,46.00
Hyndburn Cemeteries,Security System Maintenance,HBC - KEY PLUS SECURITY - KEYHOLDER CALLOUTS - JULY 2023,B000024236/44845,Keyplus Security Ltd,08 August 2023,131.56
Library St Depot,Security System Maintenance,HBC - KEY PLUS SECURITY - KEYHOLDER CALLOUTS - JULY 2023,B000024236/44845,Keyplus Security Ltd,08 August 2023,263.12
Markets - Operations,Security System Maintenance,HBC - KEY PLUS SECURITY - KEYHOLDER CALLOUTS - JULY 2023,B000024236/44845,Keyplus Security Ltd,08 August 2023,345.35
Parks & Open Spaces,Security System Maintenance,HBC - KEY PLUS SECURITY - KEYHOLDER CALLOUTS - JULY 2023,B000024236/44845,Keyplus Security Ltd,08 August 2023,506.00
Ranger St Compound & Depot,Security System Maintenance,HBC - KEY PLUS SECURITY - KEYHOLDER CALLOUTS - JULY 2023,B000024236/44845,Keyplus Security Ltd,08 August 2023,263.12
Scaitcliffe House,Security System Maintenance,HBC - KEY PLUS SECURITY - KEYHOLDER CALLOUTS - JULY 2023,B000024236/44845,Keyplus Security Ltd,08 August 2023,57.20
Willows Lane Depot,Security System Maintenance,HBC - KEY PLUS SECURITY - KEYHOLDER CALLOUTS - JULY 2023,B000024236/44845,Keyplus Security Ltd,08 August 2023,65.78
General Expenses,Cabinet Action Fund,CONTRIBUTION TOWARDS ANNUAL FIREWORK SHOW 23/24,B000024237/53768,Accrington Stanley Community Trust,08 August 2023,"1,500.00"
General Expenses,Cabinet Action Fund,CONT TOWARDS NEW SETS OF COACHING BOWLS,B000024237/68737,Great Harwood Bowling Club,08 August 2023,500.00
General Expenses,Cabinet Action Fund,CONTRIBUTION TOWARDS GRASS ROOTS FOOTBALL CLUB,B000024237/68740,Huncoat United Football Club,08 August 2023,400.00
Willows Lane Depot,Asset Maint R&M,WILLOWS LANE- PPM EMERGENCY LIGHTING TEST,B000024195/53957,Lantei Limited,10 August 2023,210.00
Rhyddings Cafe,Asset Maint R&M,RHYDDINGS PARK COACH HOUSE-NEW COMMERCIAL MICROWAVE,B000024195/56939,Affordable Bar & Catering Equipment Direct,10 August 2023,650.00
Markets - Operations,Asset Maint R&M,ACC MARKET HALL  REPLACE TOILET DOORS,B000024200/59128,George Pearce & Sons Ltd,10 August 2023,554.00
Cvmu,Materials-Direct,STEAM CLEAN X 2,B000024202/58642,Keep Em Clean,10 August 2023,525.00
Cvmu,Materials-Direct,SERVICE AND REPAIRS,B000024202/63930,Croft Commercials Transport Limited,10 August 2023,816.20
Cvmu,Materials-Direct,WHEEL HUB,B000024202/7688,Aebi Schmidt Uk Ltd,10 August 2023,834.02
Broad Oak Culvert,Contractor Other,MANCHESTER ROAD CULVERT,B000024205/54658,Wade Group,10 August 2023,"25,000.00"
General Maintenance,Work Done Dlo-Highways,MANCHESTER ROAD CULVERT,B000024205/54658,Wade Group,10 August 2023,"1,049.09"
Hyndburn Cemeteries,Materials-Direct,TOP SOIL,B000024206/13133,Greenvale,10 August 2023,440.00
Community Safety,General Subscriptions,LANPAC MEMBERSHIP - 23 / 24,B000024212/2551,Lanpac Ltd,10 August 2023,250.00
Haworth Art Gallery,Equipment-Resale,GOODS FOR RESALE IN SHOP,B000024222/57883,Museums & Galleries,10 August 2023,238.50
Housing Benefit Administration,Agency Staff,TEMP STAFF WE 23.07.23 ,B000024228/33923,Eden Brown Limited,10 August 2023,"1,010.10"
Housing Benefit Administration,Agency Staff,TEMP STAFF W/E 30.07.23 ,B000024228/33923,Eden Brown Limited,10 August 2023,"1,010.10"
Hyndburn Cemeteries,Agency Staff,SEASONAL STAFF W/C 17.7.23,B000024230/19414,Proman Supply Chain Ltd,10 August 2023,"1,044.66"
Parks & Open Spaces,Agency Staff,SEASONAL STAFF  W/C 17.7.23,B000024230/19414,Proman Supply Chain Ltd,10 August 2023,"1,886.47"
Cemetery Welfare & Depot Fac,Contractor Other,FEES FOR ARCHITECT SERVICES,B000024230/62103,The Intelligent Design Centre Ltd,10 August 2023,"1,250.00"
Hyndburn Cemeteries,Cleaning Of Buildings,BUILDING CLEANING CEM OFFICE AUG 23,B000024230/68396,Servicemaster Cs Aaa,10 August 2023,734.24
Parks & Open Spaces,Cleaning Of Buildings,BUILDING CLEANING WILSONS AUG 23,B000024230/68396,Servicemaster Cs Aaa,10 August 2023,550.67
Parks & Open Spaces,Water Charges,WATER CHARGES KING GEORGES 21.5.23-20.6.23,B000024230/8325,Water Plus Ltd,10 August 2023,"3,722.68"
Willows Lane Depot,Water Charges,TOWNS YARD WATER CHARGES 25.6.23-24.7.23,B000024230/8325,Water Plus Ltd,10 August 2023,492.05
Dog Warden,Kenneling - Daytime,KENELLING CONTRACT,B000024234/36271,Aspen Valley Boarding Kennels & Cattery,10 August 2023,"1,182.64"
Parks & Open Spaces,Cleaning Of Buildings,BUILDING CLEANING RHYDDINGS AUG 23,B000024234/68396,Servicemaster Cs Aaa,10 August 2023,495.59
Willows Lane Depot,Cleaning Of Buildings,BUILDING CLEANING WILLOWS LANE AUG 23,B000024234/68396,Servicemaster Cs Aaa,10 August 2023,954.53
Waste Services,Protective Clothing,DE-ICER 600ML,B000024235/666,"Bubbles, Brushes & Wiper Co Ltd",10 August 2023,23.88
Waste Services,Protective Clothing,FULLY COVERED SUMO GLOVES 9/10,B000024235/666,"Bubbles, Brushes & Wiper Co Ltd",10 August 2023,520.00
Waste Services,Protective Clothing,SAFETY BOOTS 7/8/10,B000024235/666,"Bubbles, Brushes & Wiper Co Ltd",10 August 2023,262.86
Waste Services,Protective Clothing,HI VIS BOMBER JACKET ORANGE M/L,B000024235/666,"Bubbles, Brushes & Wiper Co Ltd",10 August 2023,71.07
Waste Services,Protective Clothing,HI VIS HIGHWAYS JACKET ORANGE M,B000024235/666,"Bubbles, Brushes & Wiper Co Ltd",10 August 2023,22.98
Waste Services,Protective Clothing,PORTWEST HI VIS TROUSERS ORANGE/NAVY S/M/L,B000024235/666,"Bubbles, Brushes & Wiper Co Ltd",10 August 2023,223.09
Waste Services,Protective Clothing,SUMO X5 GLOVES 9/10,B000024235/666,"Bubbles, Brushes & Wiper Co Ltd",10 August 2023,780.00
Waste Services,Protective Clothing,TWO TONE SWEATSHIRT ORANGE/NAVY M/L/XL,B000024235/666,"Bubbles, Brushes & Wiper Co Ltd",10 August 2023,64.95
Ribblesdale Ave Acc S106,Contrib From Earmarked Reserve,WHINNEY HILL ENHANCEMENT - S106,B000024240/2496,Lancashire County Council,10 August 2023,"57,500.00"
General Expenses,Cabinet Action Fund,CONTRIBUTION TOWARDS RENT AND ACTIVITIES,B000024240/60627,Oswaldtwistle And District Womens Institute,10 August 2023,750.00
Ukspf - Regeneration,Marketing/Promotion,TCIP DESIGN PRINT AND INSTALL,B000024240/66163,Media Village,10 August 2023,"8,100.00"
Ukspf - Regeneration,Marketing/Promotion,TCIP PROMO VIDEO,B000024240/66163,Media Village,10 August 2023,"9,750.00"
Development Control B.U.,Agency Staff,AGENCY STAFF - W/E 30.7.23,B000024240/67448,Macdonald & Company,10 August 2023,"1,438.42"
Planning Policy B.U.,Agency Staff,AGENCY STAFF- W/E 30/7/23,B000024240/67448,Macdonald & Company,10 August 2023,"1,378.00"
Dfg Affordable Warmth Grant,Temporary Accommodation,AFFORDABLE WARMTH GRANT ,B000024240/68294,Artisan Windows,10 August 2023,"1,495.00"
Planning Policy B.U.,Local Plan,ANCIENT WOODLAND INVENTORY,B000024242/2496,Lancashire County Council,10 August 2023,620.00
Strategic Housing Department,General Subscriptions,NORTH WEST HOUSING FORUM - 22/23,B000024242/60246,Bolton At Home,10 August 2023,500.00
Land At Nook Lane,Fees-Analysts & Consultants,BURY MEADOWS - MASTER PLAN AND CAF BID,B000024242/60561,Proffits Investing In Communities,10 August 2023,"1,184.00"
Housing Advice,Temporary Accommodation,2 X ROOMS - 11.07 - 07.02.23 - 27 NIGHTS ,B000024242/67383,Molesworth Hotel,10 August 2023,"3,726.00"
Housing Advice,Temporary Accommodation,ACCOMMODATION - 09.07 - 18.07.23 ,B000024242/67383,Molesworth Hotel,10 August 2023,711.00
Scaitcliffe House,Water Charges,WATER SCAITCLIFFE - 01.07.23 - 31.07.23,B000024242/8325,Water Plus Ltd,10 August 2023,520.00
ENVIRONMENTAL SERVICES,CVMU,VEHICLE TAX,P-CARD - AUG 23,DVLA,11 August 2023,322.50
ENVIRONMENTAL SERVICES,CVMU,VEHICLE TAX,P-CARD - AUG 23,DVLA,11 August 2023,422.50
ENVIRONMENTAL SERVICES,CEMETERIES,GRASS SEED,P-CARD - AUG 23,LBS HORTICULTURE,11 August 2023,269.37
Waste Services,Agency Staff,AGENCY STAFF W/C 14.11.22,B000023978/61971,Rapid Recruit Ltd,14 August 2023,532.43
Hyndburn Cemeteries,Agency Staff,SEASONAL STAFF  W/C 14.11.22,B000024113/19414,Proman Supply Chain Ltd,15 August 2023,543.52
