,,,,,,
Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
Hyndburn Cemeteries,Security System Maintenance,CALLOUTS MARCH 2023 GT HAR CEM,B000024098/44845,Keyplus Security Ltd,8 Jun 2023,131.56
Hyndburn Cemeteries,Security System Maintenance,CALLOUTS MAY 23 GT HAR CEM,B000024098/44845,Keyplus Security Ltd,8 Jun 2023,526.24
Library St Depot,Security System Maintenance,CALLOUTS MAY 23 CVMU,B000024098/44845,Keyplus Security Ltd,8 Jun 2023,131.56
Markets - Operations,Security System Maintenance,CALLOUTS MAY 23 MARKET HALL,B000024098/44845,Keyplus Security Ltd,8 Jun 2023,394.68
Parks & Open Spaces,Security System Maintenance,CALLOUTS MARCH 2023 WILSONS,B000024098/44845,Keyplus Security Ltd,8 Jun 2023,158.13
Parks & Open Spaces,Security System Maintenance,CALLOUTS MAY 23 BULLOUGH PARK,B000024098/44845,Keyplus Security Ltd,8 Jun 2023,263.12
Parks & Open Spaces,Security System Maintenance,CALLOUTS MAY 23 LOWERFOLD PARK,B000024098/44845,Keyplus Security Ltd,8 Jun 2023,63.25
Parks & Open Spaces,Security System Maintenance,CALLOUTS MAY 23 WILSONS,B000024098/44845,Keyplus Security Ltd,8 Jun 2023,126.50
Ranger St Compound & Depot,Security System Maintenance,CALLOUTS MARCH 2023 RANGER ST,B000024098/44845,Keyplus Security Ltd,8 Jun 2023,131.56
Ranger St Compound & Depot,Security System Maintenance,CALLOUTS MAY 23 RANGER ST,B000024098/44845,Keyplus Security Ltd,8 Jun 2023,131.56
Willows Lane Depot,Security System Maintenance,CALLOUTS MAY 23 WILLOWS LANE,B000024098/44845,Keyplus Security Ltd,8 Jun 2023,131.56
Acc Town Hall,Electricity,A.C.H. MAY 23,B000024098/59343,Edf Energy,8 Jun 2023,"3,489.28"
Markets - Operations,Electricity,ACC MARKET 1.5.23 - 31.05.23,B000024098/59343,Edf Energy,8 Jun 2023,"6,872.89"
Parks & Open Spaces,Cleaning Of Buildings,OAKHILL PAR PAVILLIONS CLEANING JUN 23,B000024098/68396,Servicemaster Cs Aaa,8 Jun 2023,279.70
Parks & Open Spaces,Agency Staff,AGENCY STAFF W/E 21.05.2023,B000024101/19414,Proman Supply Chain Ltd,8 Jun 2023,782.34
Parks & Open Spaces,Agency Staff,AGENCY STAFF W/E 28.05.2023,B000024101/19414,Proman Supply Chain Ltd,8 Jun 2023,"1,196.52"
Cctv'S,Licences,ANNUAL RENT CCTV LANCASTER AVENUE,B000024101/67973,On Tower Uk,8 Jun 2023,"12,843.81"
Willows Lane Depot,Cleaning Of Buildings,BUILDING CLEANERS,B000024101/68396,Servicemaster Cs Aaa,8 Jun 2023,954.53
Mayoralty,General Contributions,MAYOR MAKING,B000024102/29112,Hyndburn Leisure,8 Jun 2023,429.17
Leisure In Hyndburn,Electricity,MERCER HALL MAY 23,B000024102/59343,Edf Energy,8 Jun 2023,"2,367.08"
Library St Depot,Electricity,CVMU MAY 23,B000024102/59343,Edf Energy,8 Jun 2023,"2,504.38"
Parks & Open Spaces,Electricity,COMMUNITY HUB MAY 23,B000024102/59343,Edf Energy,8 Jun 2023,802.13
Scaitcliffe House,Electricity,SCAITCLIFFE MAY 23,B000024102/59343,Edf Energy,8 Jun 2023,"5,356.28"
Mayoralty,General Contributions,MAYOR MAKING,B000024102/65011,Brands Inside Out Limited,8 Jun 2023,335.00
Acc Town Hall,Cleaning Of Buildings,BROADWAY CLEANING,B000024103/29112,Hyndburn Leisure,8 Jun 2023,"1,095.03"
Insurances,Premiums Paid,BAL GROUP LIFE POLICY 23/24,B000024103/60858,Metlife,8 Jun 2023,"1,178.55"
Parks & Open Spaces,Equipmnt Repair & Maint,BLADES (ROTARY),B000024074/58747,Robertshaw Garden Machinery Ltd,13 Jun 2023,285.90
Legal Services,Advertising,JOB ADVERT,B000024078/60805,Local Government Lawyer,13 Jun 2023,695.00
Development Control B.U.,Dev Control System, SUBS COMPASS ONLINE & PLANNING RESOURCES,B000024081/58800,Haymarket Media Group Ltd,13 Jun 2023,"5,400.00"
Development Control B.U.,Agency Staff,TEMP STAFF W/C 15/05/23,B000024081/58852,Oyster Partnership,13 Jun 2023,463.20
Hmo,Agency Staff,TEMP STAFF W/C 15/05/23,B000024081/58852,Oyster Partnership,13 Jun 2023,"1,131.00"
Hmo,Agency Staff,TEMP STAFF W/C 15/05/23,B000024081/58852,Oyster Partnership,13 Jun 2023,"1,654.64"
Housing Standards,Agency Staff,TEMP STAFF W/C 15/05/23,B000024081/58852,Oyster Partnership,13 Jun 2023,"1,053.90"
Planning Policy B.U.,Agency Staff,TEMP STAFF W/C 15/05/23,B000024081/58852,Oyster Partnership,13 Jun 2023,"1,579.75"
Housing Standards,Agency Staff,TEMP STAFF P/E 21/05/23,B000024081/61657,G2 Recruitment Solutions,13 Jun 2023,"1,989.53"
Environmental Protection,Agency Staff,TEMP STAFF P/E 21/05/23,B000024081/61860,Vivid Resourcing,13 Jun 2023,"1,800.05"
Environmental Protection,Agency Staff,TEMP STAFF P/E 21/05/23,B000024081/61860,Vivid Resourcing,13 Jun 2023,708.75
Housing Advice,Agency Staff,TEMP STAFF P/E 21/05/23,B000024081/61860,Vivid Resourcing,13 Jun 2023,"1,643.76"
Off Street Parking,Other Dso    Work Done,PARKING ENFORCEMENT X5 DAYS 2022/2023,B000024081/7448,Ribble Valley Borough Council,13 Jun 2023,850.45
Human Resources,Training Expenses,AUDITING ESG PROCESS ,B000024082/64197,Business Risk Management Limited,13 Jun 2023,400.00
Markets - Operations,Marketing Initiatives,REFUGEE WEEK EVENT,B000024082/68565,The Fun Firm Office,13 Jun 2023,"2,610.00"
Scaitcliffe House,Cleaning Materials,CLEANING MATERIALS MAY 23,B000024082/7033,Option Hygiene,13 Jun 2023,518.06
Finance Lease Interest,Interest,TIME RENTAL SYSTEM,B000024088/30595,Siemens Financial Services Ltd,13 Jun 2023,819.60
General Fund B/S,Finance Lease,TIME RENTAL SYSTEM,B000024088/30595,Siemens Financial Services Ltd,13 Jun 2023,"2,292.90"
Scaitcliffe House,Equipmnt Repair & Maint,TIME RENTAL SYSTEM,B000024088/30595,Siemens Financial Services Ltd,13 Jun 2023,637.50
Administration Services,Equipmnt Repair & Maint,COPIER CHARGES 22.02.2023 - 21.5.2023,B000024088/55485,Canon (Uk) Ltd,13 Jun 2023,356.95
Licensing,Dvla Fees,DVLA,B000024088/62170,Personnel Checks,13 Jun 2023,276.00
Accrington Town Centre,Event Expenditure,CORONATION ACTIVITY IN GREAT HARWOOD,B000024089/40085,Great Harwood Community Action Group,13 Jun 2023,"2,950.00"
Cvmu,Materials-Direct,DRIVE SHAFT,B000024091/66006,Alliance Automotive Uk Lv T/A Jpn Autoparts,13 Jun 2023,239.00
Cvmu,Materials-Direct,PANEL,B000024091/8014,Terberg Matec Uk,13 Jun 2023,392.99
Wi-Fi Upgrade,Rental & Maint Software Misc,MERAKI UPGRADE,B000024093/68098,Montanas Group,13 Jun 2023,831.13
Accountancy,Agency Staff,AGENCY STAFF WC 15.05.23 ,B000024102/58852,Oyster Partnership,13 Jun 2023,"4,000.00"
Accountancy,Agency Staff,AGENCY STAFF WE 21.05.23,B000024102/61860,Vivid Resourcing,13 Jun 2023,"2,950.00"
Markets - Operations,Window Cleaning,M/HALL WINDOW CLEANING,B000024106/62140,Clearview Contractors Ltd,13 Jun 2023,400.00
Street Nameplates Gen,Work Done Dlo-Highways,INSTALL STREET SIGNAGE,B000024107/14998,Sterling Construction (Services) Ltd,13 Jun 2023,860.00
