Department Area,Service Area,Description,Line,HBC Ref No.,Name:  ,Payment Date,Amount Paid
ENVS - Environmental Services,CAC - Parks & Cemeteries,1 months service charge,8,CRINV0004671,Trakm8 Holdings Plc,17/09/2024,13.34
ENVS - Environmental Services,CAC - Parks & Cemeteries,1 months service charge,9,CRINV0004671,Trakm8 Holdings Plc,17/09/2024,13.34
ENVS - Environmental Services,CAC - Parks & Cemeteries,1 months service charge,9,CRINV0004671,Trakm8 Holdings Plc,17/09/2024,26.68
ENVS - Environmental Services,CAC - Parks & Cemeteries,1 months service charge  - June,10,CRINV0004671,Trakm8 Holdings Plc,17/09/2024,13.34
ENVS - Environmental Services,CAC - Parks & Cemeteries,1 months service charge,11,CRINV0004671,Trakm8 Holdings Plc,17/09/2024,13.34
ENVS - Environmental Services,CAC - Parks & Cemeteries,1 months service charge,12,CRINV0004671,Trakm8 Holdings Plc,17/09/2024,13.34
RESO - Resources,AAB - Benefits & Customer Contact,Agency staff - w/e 25.08.24,1,CRINV0004807,Eden Brown Limited,17/09/2024,"1,212.12"
ENVS - Environmental Services,CAA - Environmental Maintenance,LUF Programme Director & LUF PMO - Aug 24,1,CRINV0004815,Rider Levett Bucknall Uk Ltd,17/09/2024,"5,289.60"
ENVS - Environmental Services,CAA - Environmental Maintenance,LUF Programme Director & LUF PMO - Aug 24,2,CRINV0004815,Rider Levett Bucknall Uk Ltd,17/09/2024,"5,289.60"
ENVS - Environmental Services,CAA - Environmental Maintenance,LUF Programme Director & LUF PMO - Aug 2024,3,CRINV0004815,Rider Levett Bucknall Uk Ltd,17/09/2024,"5,289.60"
ENVS - Environmental Services,CAA - Environmental Maintenance,Professional Services,1,CRINV0004821,Perfect Circle JV Ltd,17/09/2024,"29,167.14"
ENVS - Environmental Services,CAA - Environmental Maintenance,Professional services,1,CRINV0004853,Perfect Circle JV Ltd,17/09/2024,"3,870.41"
ENVS - Environmental Services,CAA - Environmental Maintenance,Charges - 26.07.24 - 25.08.24,1,CRINV0004857,Water Plus - 4083296151 Market Hall,17/09/2024,764.93
ENVS - Environmental Services,CAE - Waste Services,Agency staff - w/e 25.08.24,1,CRINV0004863,Rapid Recruitment Ltd,17/09/2024,"3,321.28"
REGN - Regeneration & Housing,FAB - Facilities,Charges - 01.08.24 - 31.08.24,1,CRINV0004873,Crown Gas and Power Ltd - P002258,17/09/2024,645.16
ENVS - Environmental Services,CAC - Parks & Cemeteries,grass cutting services,1,CRINV0004918,Grounds Gardens & Trees Ltd,17/09/2024,"21,631.34"
LEGL - Legal & Democratic,DAB - Human Resources,telephone consultation,1,CRINV0004926,Pam Wellbeing Ltd,17/09/2024,112.36
LEGL - Legal & Democratic,DAB - Human Resources,telephone consultation,2,CRINV0004926,Pam Wellbeing Ltd,17/09/2024,224.72
LEGL - Legal & Democratic,DAB - Human Resources,telephone consultation,3,CRINV0004926,Pam Wellbeing Ltd,17/09/2024,112.35
LEGL - Legal & Democratic,DAB - Human Resources,telephone consultation,4,CRINV0004926,Pam Wellbeing Ltd,17/09/2024,112.35
ENVS - Environmental Services,CAC - Parks & Cemeteries,Cleaning - July 24,1,CRINV0004949,ServiceMaster Clean Contract Services AAA,17/09/2024,"1,257.69"
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant,1,CRINV0004964,Trade Windows (Preston) Limited,17/09/2024,"1,940.00"
PLAN - Planning & Transportation,EAA - Building Control,Agency staff - w/e 06.09.24,1,CRINV0004983,Deekay Tech Recruitment Ltd,17/09/2024,"1,784.64"
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant,1,CRINV0004988,A G S Heating & Plumbing Ltd,17/09/2024,780.00
PLAN - Planning & Transportation,EAC - Green Infrastructure,Year 4 of Lancs Woodland Connect Project,1,CRINV0004994,Ribble Rivers Trust,17/09/2024,"20,000.00"
REGN - Regeneration & Housing,FAD - Housing Advice,Cold weather payment Aug 24,1,CRINV0004997,Maundy Relief,17/09/2024,"1,240.00"
RESO - Resources,AAD - ICT,Phone charges,1,CRINV0005001,Cloudcoco Limited,17/09/2024,"1,545.25"
REGN - Regeneration & Housing,FAD - Housing Advice,Accommodation01.08.24 - 30.08.24,1,CRINV0005012,Molesworth Hotel,17/09/2024,"2,749.20"
ENVS - Environmental Services,CAD - Town Centre & Markets,Balance of Soapbox 24,1,CRINV0005025,Scott Dawson Advertising Ltd,17/09/2024,"12,600.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,SCAPE NCF E&W - Accrington Town Square - Payment 9,1,CRINV0005037,Morgan Sindall Construction & Infrastructure Ltd,17/09/2024,"527,360.63"
ENVS - Environmental Services,CAA - Environmental Maintenance,SCAPE NCF E&W - Accrington Town Square - Payment 9,2,CRINV0005037,Morgan Sindall Construction & Infrastructure Ltd,17/09/2024,"157,086.14"
ENVS - Environmental Services,CAA - Environmental Maintenance,SCAPE NCF E&W - Accrington Town Square - Payment 9,3,CRINV0005037,Morgan Sindall Construction & Infrastructure Ltd,17/09/2024,"437,597.13"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Period: 3.8.24 to 2.9.24,1,CRINV0005041,Water Plus - 4081821747 Woodlands Sports Pavillion,17/09/2024,"3,380.69"
ENVS - Environmental Services,CAD - Town Centre & Markets,Supply and install Mira shower Cabin 13,1,CRINV0005045,Mark Hanson Plumbing & Heated Ltd,17/09/2024,527.11
LEGL - Legal & Democratic,DAA - Democratic Services,5 x Sewn Union Jack Flag 2 Yard,1,CRPOI0004492,Flagpole Express Ltd,17/09/2024,414.00
LEGL - Legal & Democratic,DAA - Democratic Services,Courier Delivery Costs ,2,CRPOI0004492,Flagpole Express Ltd,17/09/2024,11.76
RESO - Resources,AAD - ICT,1 x HP 14X Black Laserjet Toner Cartridge C,1,CRPOI0004500,Document Logic,17/09/2024,468.44
LEGL - Legal & Democratic,DAG - Elections,1x HARVEY3/M2/L/SS/AU Ergonomic task chair,1,CRPOI0004676,Bevlan Office Interiors Ltd,17/09/2024,460.56
ENVS - Environmental Services,CAC - Parks & Cemeteries,To remove the top of an Ash tree,1,CRPOI0004727,Northern Forestry & Arb,17/09/2024,864.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,FSA 135R Brushcutter shell,1,CRPOI0004729,Dick Leigh LLP,17/09/2024,425.58
ENVS - Environmental Services,CAC - Parks & Cemeteries,FS 131R Brushcutter auto cut,2,CRPOI0004729,Dick Leigh LLP,17/09/2024,586.08
ENVS - Environmental Services,CAC - Parks & Cemeteries,HAS 100 Hedge trimmer 24``,3,CRPOI0004729,Dick Leigh LLP,17/09/2024,265.68
